comment_id,post_id,post_author_id,user_id,username,parent_comment_id,created_at,period,commenter_cluster,post_author_cluster,same_cluster_as_post_author,text
c0000001,p000001,u0125,u0303,Free0303,,2026-01-29 09:27:07,before_policy,C2_anti_policy,C2_anti_policy,1,Exactly. The point about surveillance connects directly to open internet.
c0000002,p000001,u0125,u0107,Cipher0107,c0000001,2026-01-29 11:46:07,before_policy,C3_privacy_skeptics,C2_anti_policy,0,I am not convinced because legal ambiguity and data rights are still unresolved.
c0000003,p000001,u0125,u0174,Speech0174,c0000001,2026-01-29 03:42:07,before_policy,C2_anti_policy,C2_anti_policy,1,I agree that individual liberty and open internet are central here.
c0000004,p000001,u0125,u0060,Civic0060,,2026-01-29 15:16:07,before_policy,C1_pro_policy,C2_anti_policy,0,I am not convinced because policy works and platform responsibility are still unresolved.
c0000005,p000003,u0183,u0247,Speech0247,,2026-01-25 18:40:55,before_policy,C2_anti_policy,C2_anti_policy,1,I agree that regulation risk and bad policy are central here.
c0000006,p000003,u0183,u0212,Data0212,c0000005,2026-01-26 04:00:55,before_policy,C3_privacy_skeptics,C2_anti_policy,0,"There is another side to this, especially around rights protection."
c0000007,p000003,u0183,u0277,Rights0277,c0000005,2026-01-26 03:06:55,before_policy,C3_privacy_skeptics,C2_anti_policy,0,"There is another side to this, especially around rights protection."
c0000008,p000004,u0335,u0102,User0102,,2026-01-30 00:56:21,before_policy,C5_general_public,C5_general_public,1,This matches what I have seen about work and wait and see.
c0000009,p000004,u0335,u0063,Social0063,c0000008,2026-01-30 11:11:21,before_policy,C5_general_public,C5_general_public,1,Exactly. The point about friends connects directly to confused.
c0000010,p000004,u0335,u0263,User0263,c0000008,2026-01-29 17:28:21,before_policy,C5_general_public,C5_general_public,1,Exactly. The point about social media connects directly to mixed feelings.
c0000011,p000005,u0359,u0049,News0049,,2026-01-10 18:43:29,before_policy,C4_neutral_news,C4_neutral_news,1,This matches what I have seen about public hearing and timeline.
c0000012,p000005,u0359,u0088,Everyday0088,,2026-01-11 08:01:29,before_policy,C5_general_public,C4_neutral_news,0,I am not convinced because question and mixed feelings are still unresolved.
c0000013,p000005,u0359,u0304,Brief0304,,2026-01-10 13:57:29,before_policy,C4_neutral_news,C4_neutral_news,1,I agree that implementation and public response are central here.
c0000014,p000005,u0359,u0194,Policy0194,c0000013,2026-01-11 04:27:29,before_policy,C4_neutral_news,C4_neutral_news,1,This matches what I have seen about analysis and vote results.
c0000015,p000006,u0103,u0019,Account0019,,2026-03-21 03:13:15,after_policy,C1_pro_policy,C4_neutral_news,0,I disagree; this ignores oversight and exaggerates reform.
c0000016,p000006,u0103,u0289,Brief0289,c0000015,2026-03-21 03:56:15,after_policy,C4_neutral_news,C4_neutral_news,1,Exactly. The point about analysis connects directly to committee.
c0000017,p000006,u0103,u0127,Everyday0127,c0000015,2026-03-21 05:52:15,after_policy,C5_general_public,C4_neutral_news,0,"You are missing the concern about mixed feelings, especially after the law passed."
c0000018,p000006,u0103,u0311,News0311,,2026-03-21 12:21:15,after_policy,C4_neutral_news,C4_neutral_news,1,I agree that public hearing and vote results are central here.
c0000019,p000007,u0106,u0247,Speech0247,,2026-03-13 23:07:42,after_policy,C2_anti_policy,C2_anti_policy,1,Exactly. The point about regulation risk connects directly to privacy invasion.
c0000020,p000008,u0194,u0295,Policy0295,,2026-04-17 22:58:48,after_policy,C4_neutral_news,C4_neutral_news,1,I agree that news report and vote results are central here.
c0000021,p000008,u0194,u0241,Analyst0241,c0000020,2026-04-17 19:05:48,after_policy,C4_neutral_news,C4_neutral_news,1,I agree that analysis and timeline are central here.
c0000022,p000008,u0194,u0004,Brief0004,,2026-04-17 19:19:48,after_policy,C4_neutral_news,C4_neutral_news,1,This matches what I have seen about analysis and lawmakers.
c0000023,p000008,u0194,u0103,Update0103,,2026-04-18 09:57:48,after_policy,C4_neutral_news,C4_neutral_news,1,This matches what I have seen about committee and timeline.
c0000024,p000008,u0194,u0052,Update0052,,2026-04-17 16:21:48,after_policy,C4_neutral_news,C4_neutral_news,1,Exactly. The point about implementation connects directly to policy update.
