period,video_id,comment,published_at,like_count,cluster,x,y
before,bj7tdVNT30c,I’m pretty sure the constitutional right to human life trumps the right to privacy lol,2024-07-17T23:16:21Z,0,0,-0.033322572228547134,0.008710617716928066
before,bj7tdVNT30c,It is an individual decision,2024-03-12T18:07:11Z,0,0,-0.028558205301666875,-0.08549936500911508
before,bj7tdVNT30c,"Thank you for the unbiased explanation, I've been too emotional to even think about this, but you made it much easier for me to address it with your calm voice 😊❤",2024-01-28T05:14:15Z,0,0,-0.03182029693271024,-0.08505763454709692
before,bj7tdVNT30c,Who leaker it?,2023-10-15T17:15:12Z,0,0,-0.010991179046209243,-0.05934513391904302
before,bj7tdVNT30c,"Sorry but your bias and disrespect is very apparent, using ""fancy"", snide tone of voice, etc. Please identify any other medical procedure that is addressed as a right in the Constitution. There is none. When Roe VS Wade was initially decided, this flaw was argued. To make it federal law, Congress would have to pass it. If you want respect for your profession which has failed the world these last several years and can no longer be trusted, then show respect for the Supreme Court and the Constitution which has worked for more than 200 years.",2023-01-06T18:05:19Z,0,0,-0.06370587799532568,-0.1291527728241764
before,bj7tdVNT30c,Same here. I used to be strongly pro life and have converted to strongly pro choice after receiving further education and critical thinking development,2022-06-25T18:14:52Z,8,0,-0.05102469793032955,0.004284948453822663
before,bj7tdVNT30c,It happened. I'm in shock. Ladies go lez.,2022-06-24T18:51:50Z,4,0,-0.019956179525795686,-0.0841649890153116
before,bj7tdVNT30c,What happens if Roe V Wade is overturned? The same we had before Roe V Wade. Alot of bloody back alley's that's what.,2022-06-23T11:26:29Z,6,0,-0.05236302688537299,-0.16361587867714972
before,bj7tdVNT30c,"It's"" government overreach"" to ensure people take a vaccine to prevent the spread of a virus, but it's okay to force millions to give birth and jail them if they have an abortion.",2022-06-20T20:59:20Z,0,0,-0.06388339825061395,0.021670099523162612
before,bj7tdVNT30c,"Where are the laws regulating men's bodies? Why should the government be allowed to force women to give birth, while cutting funds to education, healthcare, and raising the cost of living?",2022-06-20T20:22:57Z,8,0,-0.05447167752018867,-0.01484162712272564
before,bj7tdVNT30c,"The same GOP who 
1.said no to universal healthcare
2. voted no to childcare assistance
3. voted no to maternity leave
4. voted no to capping insulin at $35
5. voted no on gun reform
6. voted no to school lunch assistance
7. voted no to raising minimum wage
8. voted to lower taxes on the rich but want to raise taxes on poor and middle class.
These people now want forced birth.",2022-06-20T20:22:10Z,10,0,-0.03366023300933238,-0.048227134966648225
before,bj7tdVNT30c,Regardless of stance I would love to see these political figures care as much about kids being shot at school as they do about the unborn. That tells me it’s not about taking a human life if one has an abortion.,2022-06-18T03:18:42Z,8,0,-0.040706215836032025,0.11672115676429615
before,bj7tdVNT30c,"This is a wonderful primer on the lay of the land. I wanted to provide a few notes on your civics lesson (not trying to law-splain).
@12:09 Lower courts doesn't have any derogatory or icky meaning. They are called lower courts because they are subordinate courts. Imagine it like appealing up the ranks in a company. You have the trial level (generally federal district courts), and if a party isn't satisfied with the outcome at the trial level, they appeal to the appropriate circuit court (1st Circuit, 2nd Circuit, 3rd Circuit, etc.)...It's like filing a complaint with the manager.  The appellate court has more weight than the trial court. If a party is not satisfied at the appellate court, then they can appeal to the Supreme Court (i.e., taking their complaint up the chain). An interesting thing to note is that the appellate level hears all appeals, but the Supreme Court chooses which cases it takes. So when they call them lower courts, it's not that their function is less important, they are a different rung in the process.
@12:20 The Supreme court doesn't hold trials and doesn't issue verdicts. It holds hearings, in which each side advocates their to explain why the subordinate court got the decision right or wrong, and how they encourage the Supreme Court to rule (the less glamorous aspect is that each side submits tons and tons of written briefs in support of their argument or things the Court should consider when they rule.).  The outcome is not a verdict. It is a ruling. The opinion is the explanation of the result or ruling.
@15:46 It's not ""months years decades"" of deliberation. At most it's a few years. The justices will decide whether to hear a case (remember they get to choose their cases), and then they will schedule it for argument. The Supreme Court term is October-June. Based on the argument date, that determines the deadlines for the interested parties to submit their written briefing. Once a case is heard, the decision will come out by the end of that term. So a ruling will be issued within that term or at least before the following October. (Historically they usually issue all decisions by June 30, but sometimes have gone into July. June 30 is not an absolute cut-off.) Occasionally, a court may decide to *rehear* a case before issuing a ruling. This actually happened with Roe v. Wade. It was first argued December 13, 1971, and when the judges couldn't reach a consensus, it was reargued October 11, 1972.  The decision wasn't released until January 1973. Brown v. Board of Education is also a famous case that was reargued. The issue may be brewing in the zeitgeist and in the subordinate courts for decades, but once it gets to SCOTUS, it takes a few years at most, usually months, not decades.",2022-06-14T03:55:37Z,1,0,-0.0661752283804027,-0.11565755694515405
before,bj7tdVNT30c,Don't Murder Your Children.,2022-06-12T22:54:21Z,0,0,-0.059460407797439496,0.42687263328193964
before,bj7tdVNT30c,"I'm a loving mother of two awesome teenagers (daughter just graduated in top 10 of her high school class and off to college for engineering!). I had an abortion after my 2nd child. There - I said it in public for the first time. It was a wanted pregnancy for sure, yet for reasons I won't delve into here I opted to terminate. It was a VERY difficult period. Yet, that doesn't mean that it equals being the wrong choice. I'm so, so grateful for the OB/gyn female doctor I worked with. I've had a few episodes of sadness about it but I truly believe this was what was right for me, us. Really, this whole issue boils down to whether a WOMAN has autonomy and rights over her OWN body. My case was even more painful because I ended up having to terminate later than I would have liked due to the timing of certain diagnostic procedures. The whole thing is kind of a blur now but I remember these stretches of just waiting. For example, they weren't able to do the first test on me because my cervical opening was so constricted (2 prior pregnancies were c-sections) and the doctor refused to continue. So, then I had to wait for the next acceptable time frame for whatever the next diagnostic procedure was. It was agonizing. My point is that I had a later term abortion than I wanted yet it was kind of out of my control. Seems no one really talks about that. Thank you Liz for allowing me a place where I feel relatively safe bringing this up. Thank you SO much for all of your research you present about this issue!",2022-06-12T09:33:22Z,8,0,-0.07893786298865992,0.02733636497245907
before,bj7tdVNT30c,"Thanks for the thoughtful video! I am sure this breakdown will help people get a better grasp on what is happening, regardless of their personal views on abortion. Much respect to you for the effort to present this in a neutral fashion! I am still in the flames shooting out of my ears level of frustration stage when thinking about their possible decision to overturn Roe.",2022-06-12T04:44:58Z,6,0,-0.06714131553035638,-0.013381412558197695
before,bj7tdVNT30c,"I’d like to offer a better analogy than kids in parents house for state vs federal
Law. The US is a republic and a better analogy would be a group of autonomous adults decide to join together to live in a house so they can all enjoy the benefits of each other’s strengths and compensate for weakness, eg facilitate trade, defend each other, etc. As a member, they are willing to cede some power and fall
under rules that benefit the union they’ve joined, but always have a say in that by representation (Congress)!",2022-06-11T15:20:21Z,0,0,-0.019616522689844873,-0.08560038171383916
before,bj7tdVNT30c,"Please address why, if abortion is legal in order to safeguard the lives of women, stand-alone abortion providers do not have to meet basic safety standards and, in fact, the pro-choice lobbyists fight those standards?

Please also address abortion centers being used to cover up rape, incest, and sex traffficking.",2022-06-10T13:30:26Z,2,0,-0.07686882327258425,0.17770220361384975
before,bj7tdVNT30c,Pro choice just means anti responsibility,2022-06-10T10:37:48Z,0,0,-0.044742675467084006,0.013336112084903033
before,bj7tdVNT30c,Wow 2022 and still fighting for woman’s rights. If abortions become illegal you best believe more mass shootings are gonna be happening by women,2022-06-10T05:19:51Z,0,0,-0.04114666515757234,0.032842548245287706
before,bj7tdVNT30c,Subscribed immediately after I quite randomly came across the channel. Only listened to a couple of videos so far but will return to the start and go through as I get chance as I am very impressed with your style and content and will follow from now on for sure,2022-06-10T00:12:25Z,4,0,-0.020890229825679486,-0.08134374189885088
before,bj7tdVNT30c,"Direct experience with policy/law and its effect on people is a truly eye opening thing. I too changed my opinion as I experienced more, learned more, saw more of the effects of policy, and have written policies and assisted with legislation myself. It’s not the most exciting thing, but it certainly is educational. It has made me realize just how much bliss ignorance really is.",2022-06-10T00:03:17Z,6,0,-0.03282784300091435,-0.055773917643954236
before,bj7tdVNT30c,"I love your videos. So informative and unbiased, thanks for the civics 101 throwbacks as well, quite helpful and necessary :)",2022-06-09T23:20:38Z,5,0,-0.023029731975367066,-0.11268921788821151
before,bj7tdVNT30c,If the mothers life is in danger and wants to have an abortion can a state say that is not allowed?  For ectopic pregnancy?,2022-06-09T22:23:31Z,3,0,-0.04991701880221321,0.07988579866583642
before,bj7tdVNT30c,Thank you for this! Great video!!,2022-06-09T21:02:05Z,5,0,-0.03867579130125572,-0.1236379122932764
before,bj7tdVNT30c,"Would you support ""paper"" abortions for men?",2022-06-09T18:57:20Z,0,0,-0.04238910995133859,-0.0797094596599519
before,bj7tdVNT30c,Murder isn't a right,2022-06-09T18:19:03Z,1,0,-0.03786446219139112,0.21524887333314896
before,bj7tdVNT30c,Thanks for this information Nurse Liz! I’m no longer reproducing but this is so informative from one non law talking person to another. I’ve been so worried about what things might look like for my daughter and this helps the existential dread I’ve been feeling! I do wish the government would stay out of our healthcare and let providers make medical decisions.,2022-06-09T18:03:35Z,11,0,-0.04520169317470443,-0.1083416883080186
