period,video_id,comment,published_at,like_count,sentiment,confidence
before,bj7tdVNT30c,I’m pretty sure the constitutional right to human life trumps the right to privacy lol,2024-07-17T23:16:21Z,0,negative,0.4835858941078186
before,bj7tdVNT30c,It is an individual decision,2024-03-12T18:07:11Z,0,neutral,0.7281500697135925
before,bj7tdVNT30c,"Thank you for the unbiased explanation, I've been too emotional to even think about this, but you made it much easier for me to address it with your calm voice 😊❤",2024-01-28T05:14:15Z,0,positive,0.8076275587081909
before,bj7tdVNT30c,Who leaker it?,2023-10-15T17:15:12Z,0,neutral,0.8473117351531982
before,bj7tdVNT30c,"Sorry but your bias and disrespect is very apparent, using ""fancy"", snide tone of voice, etc. Please identify any other medical procedure that is addressed as a right in the Constitution. There is none. When Roe VS Wade was initially decided, this flaw was argued. To make it federal law, Congress would have to pass it. If you want respect for your profession which has failed the world these last several years and can no longer be trusted, then show respect for the Supreme Court and the Constitution which has worked for more than 200 years.",2023-01-06T18:05:19Z,0,negative,0.8015522360801697
before,bj7tdVNT30c,Same here. I used to be strongly pro life and have converted to strongly pro choice after receiving further education and critical thinking development,2022-06-25T18:14:52Z,8,neutral,0.7521387338638306
before,bj7tdVNT30c,It happened. I'm in shock. Ladies go lez.,2022-06-24T18:51:50Z,4,negative,0.7538985013961792
before,bj7tdVNT30c,What happens if Roe V Wade is overturned? The same we had before Roe V Wade. Alot of bloody back alley's that's what.,2022-06-23T11:26:29Z,6,negative,0.8215281367301941
before,bj7tdVNT30c,"It's"" government overreach"" to ensure people take a vaccine to prevent the spread of a virus, but it's okay to force millions to give birth and jail them if they have an abortion.",2022-06-20T20:59:20Z,0,negative,0.8186920881271362
before,bj7tdVNT30c,"Where are the laws regulating men's bodies? Why should the government be allowed to force women to give birth, while cutting funds to education, healthcare, and raising the cost of living?",2022-06-20T20:22:57Z,8,negative,0.7356606721878052
before,bj7tdVNT30c,"The same GOP who 
1.said no to universal healthcare
2. voted no to childcare assistance
3. voted no to maternity leave
4. voted no to capping insulin at $35
5. voted no on gun reform
6. voted no to school lunch assistance
7. voted no to raising minimum wage
8. voted to lower taxes on the rich but want to raise taxes on poor and middle class.
These people now want forced birth.",2022-06-20T20:22:10Z,10,negative,0.7014135122299194
before,bj7tdVNT30c,Regardless of stance I would love to see these political figures care as much about kids being shot at school as they do about the unborn. That tells me it’s not about taking a human life if one has an abortion.,2022-06-18T03:18:42Z,8,negative,0.6012514233589172
before,bj7tdVNT30c,"This is a wonderful primer on the lay of the land. I wanted to provide a few notes on your civics lesson (not trying to law-splain).
@12:09 Lower courts doesn't have any derogatory or icky meaning. They are called lower courts because they are subordinate courts. Imagine it like appealing up the ranks in a company. You have the trial level (generally federal district courts), and if a party isn't satisfied with the outcome at the trial level, they appeal to the appropriate circuit court (1st Circuit, 2nd Circuit, 3rd Circuit, etc.)...It's like filing a complaint with the manager.  The appellate court has more weight than the trial court. If a party is not satisfied at the appellate court, then they can appeal to the Supreme Court (i.e., taking their complaint up the chain). An interesting thing to note is that the appellate level hears all appeals, but the Supreme Court chooses which cases it takes. So when they call them lower courts, it's not that their function is less important, they are a different rung in the process.
@12:20 The Supreme court doesn't hold trials and doesn't issue verdicts. It holds hearings, in which each side advocates their to explain why the subordinate court got the decision right or wrong, and how they encourage the Supreme Court to rule (the less glamorous aspect is that each side submits tons and tons of written briefs in support of their argument or things the Court should consider when they rule.).  The outcome is not a verdict. It is a ruling. The opinion is the explanation of the result or ruling.
@15:46 It's not ""months years decades"" of deliberation. At most it's a few years. The justices will decide whether to hear a case (remember they get to choose their cases), and then they will schedule it for argument. The Supreme Court term is October-June. Based on the argument date, that determines the deadlines for the interested parties to submit their written briefing. Once a case is heard, the decision will come out by the end of that term. So a ruling will be issued within that term or at least before the following October. (Historically they usually issue all decisions by June 30, but sometimes have gone into July. June 30 is not an absolute cut-off.) Occasionally, a court may decide to *rehear* a case before issuing a ruling. This actually happened with Roe v. Wade. It was first argued December 13, 1971, and when the judges couldn't reach a consensus, it was reargued October 11, 1972.  The decision wasn't released until January 1973. Brown v. Board of Education is also a famous case that was reargued. The issue may be brewing in the zeitgeist and in the subordinate courts for decades, but once it gets to SCOTUS, it takes a few years at most, usually months, not decades.",2022-06-14T03:55:37Z,1,positive,0.8214708566665649
before,bj7tdVNT30c,Don't Murder Your Children.,2022-06-12T22:54:21Z,0,negative,0.7922385334968567
